Full name,Faction,Sort_class,Enemy,Sort_part,Part,Show Main,Main view,Alt view,Credit (3D model). Additional modifications such as highlighting and identification of parts are done by myself.,HP,Armor,Durability,To main,Tag,Demo,ExDR,BaDR,Fire Mult,Correction,Constitution,Main cap,ExVM,Light stagger,Medium stagger,Heavy stagger,Massive stagger,,Notes
Automatons / Medium / Berserker / Shoulderplate (each),Automatons,3,Medium / Berserker,3,Shoulderplate (each),--,https://i.postimg.cc/43XpQJMb/front-shoulders.jpg,https://i.postimg.cc/NMJ80Wd8/side-shoulders.jpg,Discord : valkyrie9001,180,0,0%,0%,Non lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Medium / Berserker / Arm (each),Automatons,3,Medium / Berserker,4,Arm (each),--,https://i.postimg.cc/2y1QL2ts/front-arms.jpg,https://i.postimg.cc/7YC95Z85/side-arms.jpg,Discord : valkyrie9001,260,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Destroying a Berserker's arm will disarm it.
Automatons / Medium / Berserker / Torso,Automatons,3,Medium / Berserker,5,Torso,--,https://i.postimg.cc/fWPjQQtD/front-chest.jpg,https://i.postimg.cc/4xV1123Z/side-chest.jpg,Discord : valkyrie9001,425,2,40%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Berserker / Boss,Automatons,3,Medium / Berserker,6,Boss,--,https://i.postimg.cc/fy1xcYnJ/front-boss.jpg,https://i.postimg.cc/28PwhNr2/side-boss.jpg,Discord : valkyrie9001,350,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Berserker / Hip,Automatons,3,Medium / Berserker,7,Hip,--,https://i.postimg.cc/2SRQ3d7t/front-pelvis.jpg,https://i.postimg.cc/cH4M0sB4/side-pelvis.jpg,Discord : valkyrie9001,600,1,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Berserker / Leg (each),Automatons,3,Medium / Berserker,8,Leg (each),--,https://i.postimg.cc/pLfDj90L/front-legs.jpg,https://i.postimg.cc/vmvLJ19N/side-legs.jpg,Discord : valkyrie9001,-1,1,0%,100%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Automatons / Medium / Devastator / [MAIN],Automatons,4,Medium / Devastator,1,[MAIN],0,https://i.postimg.cc/XJztxLYd/front-main.jpg,https://i.postimg.cc/Prwn3gZx/side-main.jpg,Discord : valkyrie9001,750,2,0%,--,Lethal,--,0%,0%,125%,0,0,--,OuterRadius,"5, 0.5, N","1, 0.5, N","15, 0.5, N","30, 1.4, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Medium / Devastator / Head,Automatons,4,Medium / Devastator,2,Head,--,https://i.postimg.cc/fW6RRjfV/front-head.jpg,https://i.postimg.cc/NGVwxsKS/side-head.jpg,Discord : valkyrie9001,110,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Devastator / Shoulderplate (each),Automatons,4,Medium / Devastator,3,Shoulderplate (each),--,https://i.postimg.cc/N0gh0Ln9/front-shoulders.jpg,https://i.postimg.cc/HxkC6j4D/side-shoulders.jpg,Discord : valkyrie9001,150,2,0%,25%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Devastator / Arm (each),Automatons,4,Medium / Devastator,4,Arm (each),--,https://i.postimg.cc/MpwZy64x/front-arms.jpg,https://i.postimg.cc/rsR3H4Db/side-arms.jpg,Discord : valkyrie9001,260,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,Destroying a Devastator's arm will disarm it.
Automatons / Medium / Devastator / Torso,Automatons,4,Medium / Devastator,5,Torso,--,https://i.postimg.cc/2SdRmn0N/front-torso.jpg,https://i.postimg.cc/NFyvwVzd/side-torso.jpg,Discord : valkyrie9001,425,3,30%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Devastator / Boss,Automatons,4,Medium / Devastator,6,Boss,--,https://i.postimg.cc/3JmJ44tn/front-boss.jpg,https://i.postimg.cc/bwfcKmHR/Side-boss.jpg,Discord : valkyrie9001,350,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Devastator / Hip,Automatons,4,Medium / Devastator,7,Hip,--,https://i.postimg.cc/SQXK4tC0/front-hip-assembly.jpg,https://i.postimg.cc/TwNvFGCy/side-pelvis.jpg,Discord : valkyrie9001,500,2,0%,75%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Devastator / Leg (each),Automatons,4,Medium / Devastator,8,Leg (each),--,https://i.postimg.cc/mhxJWrMr/front-legs.jpg,https://i.postimg.cc/nr6bV28p/side-legs.jpg,Discord : valkyrie9001,500,2,0%,60%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / [MAIN],Automatons,5,Medium / Rocket Devastator,1,[MAIN],0,https://i.postimg.cc/rpbvNgmW/front-rocket-main.jpg,https://i.postimg.cc/VLqmLyNh/side-rocket-main.jpg,Discord : valkyrie9001,750,2,0%,--,Lethal,--,0%,0%,125%,0,0,--,OuterRadius,"5, 0.5, N","1, 0.5, N","15, 0.5, N","30, 1.4, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Medium / Rocket Devastator / Head,Automatons,5,Medium / Rocket Devastator,2,Head,--,https://i.postimg.cc/pXZ46PrP/Front-head.jpg,https://i.postimg.cc/wMKYgFYH/Side-head.jpg,Discord : valkyrie9001,110,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / Shoulderplate (each),Automatons,5,Medium / Rocket Devastator,3,Shoulderplate (each),--,https://i.postimg.cc/KvDhhnqS/Front-shoulders.jpg,https://i.postimg.cc/T2WTF5vf/Side-shoulders.jpg,Discord : valkyrie9001,150,2,0%,25%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / Arm (each),Automatons,5,Medium / Rocket Devastator,4,Arm (each),--,https://i.postimg.cc/RZp8vGw8/Front-arms.jpg,https://i.postimg.cc/wvmnfJyr/Side-boss.jpg,Discord : valkyrie9001,260,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,Destroying a Devastator's arm will disarm it.
Automatons / Medium / Rocket Devastator / Torso,Automatons,5,Medium / Rocket Devastator,5,Torso,--,https://i.postimg.cc/Wbvcy97w/Front-torso.jpg,https://i.postimg.cc/hG5q3cCX/Side-torso.jpg,Discord : valkyrie9001,425,3,30%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / Boss,Automatons,5,Medium / Rocket Devastator,6,Boss,--,https://i.postimg.cc/N0WzHMJk/Front-boss.jpg,https://i.postimg.cc/wMKYgFYH/Side-head.jpg,Discord : valkyrie9001,350,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / Hip,Automatons,5,Medium / Rocket Devastator,7,Hip,--,https://i.postimg.cc/g22Q91L8/Front-hip-assembly.jpg,https://i.postimg.cc/05mqcg7N/Side-pelvis.jpg,Discord : valkyrie9001,500,2,0%,75%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / Leg (each),Automatons,5,Medium / Rocket Devastator,8,Leg (each),--,https://i.postimg.cc/7LCRh7VL/Front-legs.jpg,https://i.postimg.cc/Gp2CQHj0/Side-legs.jpg,Discord : valkyrie9001,500,2,0%,60%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket Devastator / Rocket pods,Automatons,5,Medium / Rocket Devastator,9,Rocket pods,--,https://i.postimg.cc/rwh6Kq2f/front-rocket-pod.jpg,https://i.postimg.cc/cHtGp2jX/side-rocket-pod.jpg,Discord : valkyrie9001,300,1,100%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Destroying the Devastator's rockets pod will prevent it from firing its missile barrages.
Automatons / Medium / Rocket Devastator / Rockets,Automatons,5,Medium / Rocket Devastator,10,Rockets,--,https://i.postimg.cc/Df1t1rKJ/front-rockets.jpg,https://i.postimg.cc/SNFmhQm8/side-rockets.jpg,Discord : valkyrie9001,200,0,0%,100%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Destroying the Devastator's rockets pod will prevent it from firing its missile barrages.
Automatons / Medium / Heavy Devastator / [MAIN],Automatons,6,Medium / Heavy Devastator,1,[MAIN],0,https://i.postimg.cc/qMMjgyBd/front-heavy-main.jpg,https://i.postimg.cc/fyM5c0xm/side-heavy-main.jpg,Discord : valkyrie9001,750,2,0%,--,Lethal,--,0%,0%,125%,0,0,--,OuterRadius,"5, 0.5, N","1, 0.5, N","15, 0.5, N","30, 1.4, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Medium / Heavy Devastator / Head,Automatons,6,Medium / Heavy Devastator,2,Head,--,https://i.postimg.cc/Vs4FyvqZ/front-head.jpg,https://i.postimg.cc/d1P50f3W/Side-head.jpg,Discord : valkyrie9001,110,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Heavy Devastator / Shoulderplate (each),Automatons,6,Medium / Heavy Devastator,3,Shoulderplate (each),--,https://i.postimg.cc/7Z59n4Ts/front-shoulders.jpg,https://i.postimg.cc/VNjjKksR/Side-shoulders.jpg,Discord : valkyrie9001,150,2,0%,25%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
